70BCSV 	
// AQ6370D OPTICAL SPECTRUM ANALYZER //                 
30
"CTRWL",1425.000000
"SPAN", 450.000000
"START WL",1200.000000
"STOP WL",1650.000000
"WLFREQ", 0
"REFL",-10.0
"LSCL",10.0
"RESLN",1.000
"AVG",   1
"SMPLAUTO",      1
"SMPL",       2251
"SMPLINTVL",0.2000
"HIGH1"
"MEAS"
"LSUNT",0
"NMSKH","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",1
"NEBWCAL0",    0
"NEBWCAL1",    0
"NEBWCALWL",   0
"RESPARM",10011
"FREQPARM",10011




"[TRACE DATA]"
1200.0000, -89.277
1200.2000,-210.000
1200.4000,-210.000
1200.6000,-210.000
1200.8000,-210.000
1201.0000,-210.000
1201.2000,-210.000
1201.4000, -85.493
1201.6000,-210.000
1201.8000,-210.000
1202.0000, -87.269
1202.2000,-210.000
1202.4000,-210.000
1202.6000,-210.000
1202.8000,-210.000
1203.0000,-210.000
1203.2000, -87.414
1203.4000, -84.711
1203.6000, -87.970
1203.8000, -92.398
1204.0000, -87.752
1204.2000, -88.310
1204.4000,-210.000
1204.6000, -92.762
1204.8000, -90.646
1205.0000, -84.348
1205.2000, -86.755
1205.4000, -82.484
1205.6000,-210.000
1205.8000, -85.177
1206.0000, -87.233
1206.2000, -89.095
1206.4000,-210.000
1206.6000, -91.599
1206.8000, -91.246
1207.0000,-210.000
1207.2000,-210.000
1207.4000, -85.563
1207.6000, -90.058
1207.8000,-210.000
1208.0000,-210.000
1208.2000, -88.059
1208.4000, -94.435
1208.6000, -86.640
1208.8000,-210.000
1209.0000, -89.019
1209.2000, -88.055
1209.4000, -85.433
1209.6000, -85.145
1209.8000,-210.000
1210.0000, -90.151
1210.2000, -87.487
1210.4000, -86.939
1210.6000,-210.000
1210.8000,-210.000
1211.0000,-210.000
1211.2000,-210.000
1211.4000,-210.000
1211.6000,-210.000
1211.8000, -87.592
1212.0000, -86.059
1212.2000,-210.000
1212.4000,-210.000
1212.6000, -91.251
1212.8000, -89.242
1213.0000,-210.000
1213.2000,-210.000
1213.4000, -91.010
1213.6000,-210.000
1213.8000,-210.000
1214.0000,-210.000
1214.2000,-210.000
1214.4000, -84.019
1214.6000, -90.785
1214.8000, -89.385
1215.0000,-210.000
1215.2000,-210.000
1215.4000, -89.084
1215.6000, -98.321
1215.8000,-210.000
1216.0000, -89.132
1216.2000,-210.000
1216.4000, -91.054
1216.6000,-210.000
1216.8000, -96.377
1217.0000, -88.075
1217.2000, -82.729
1217.4000, -96.188
1217.6000, -84.905
1217.8000,-210.000
1218.0000,-210.000
1218.2000, -86.479
1218.4000, -91.616
1218.6000, -85.027
1218.8000, -86.067
1219.0000,-210.000
1219.2000, -86.980
1219.4000,-210.000
1219.6000, -93.603
1219.8000,-111.918
1220.0000, -88.364
1220.2000, -88.123
1220.4000, -84.463
1220.6000,-210.000
1220.8000, -90.615
1221.0000, -83.052
1221.2000, -87.432
1221.4000, -95.855
1221.6000, -88.705
1221.8000,-210.000
1222.0000, -90.499
1222.2000, -93.720
1222.4000,-210.000
1222.6000,-210.000
1222.8000, -86.371
1223.0000, -86.730
1223.2000, -89.108
1223.4000,-210.000
1223.6000,-210.000
1223.8000, -87.710
1224.0000,-210.000
1224.2000, -83.107
1224.4000, -87.010
1224.6000,-100.789
1224.8000,-210.000
1225.0000, -86.246
1225.2000, -86.453
1225.4000,-210.000
1225.6000, -90.176
1225.8000,-210.000
1226.0000,-210.000
1226.2000,-210.000
1226.4000, -88.447
1226.6000, -91.955
1226.8000,-210.000
1227.0000,-210.000
1227.2000, -93.224
1227.4000,-210.000
1227.6000,-210.000
1227.8000, -84.889
1228.0000,-210.000
1228.2000, -85.526
1228.4000,-210.000
1228.6000,-210.000
1228.8000, -88.588
1229.0000, -88.766
1229.2000, -88.082
1229.4000, -85.736
1229.6000,-210.000
1229.8000, -92.634
1230.0000, -85.753
1230.2000, -89.555
1230.4000, -86.309
1230.6000,-210.000
1230.8000, -86.375
1231.0000, -85.209
1231.2000, -85.263
1231.4000, -85.050
1231.6000,-210.000
1231.8000,-210.000
1232.0000,-210.000
1232.2000,-210.000
1232.4000, -91.336
1232.6000, -90.472
1232.8000, -86.148
1233.0000,-210.000
1233.2000, -88.742
1233.4000, -87.610
1233.6000, -85.067
1233.8000, -87.961
1234.0000,-102.125
1234.2000, -84.861
1234.4000, -88.143
1234.6000, -95.387
1234.8000, -84.520
1235.0000,-210.000
1235.2000, -84.778
1235.4000, -89.562
1235.6000,-210.000
1235.8000, -92.904
1236.0000, -88.978
1236.2000,-210.000
1236.4000, -87.740
1236.6000, -93.944
1236.8000, -87.904
1237.0000, -90.547
1237.2000, -89.014
1237.4000,-210.000
1237.6000,-210.000
1237.8000, -90.779
1238.0000, -83.549
1238.2000, -86.797
1238.4000,-210.000
1238.6000,-210.000
1238.8000, -88.494
1239.0000, -86.068
1239.2000, -93.631
1239.4000, -88.839
1239.6000, -87.934
1239.8000, -86.712
1240.0000,-210.000
1240.2000, -87.655
1240.4000, -84.179
1240.6000, -84.318
1240.8000,-210.000
1241.0000,-210.000
1241.2000, -84.894
1241.4000, -83.126
1241.6000, -82.522
1241.8000, -88.123
1242.0000,-210.000
1242.2000,-210.000
1242.4000, -89.826
1242.6000,-210.000
1242.8000, -95.513
1243.0000,-210.000
1243.2000, -93.722
1243.4000, -84.421
1243.6000, -88.117
1243.8000, -85.984
1244.0000, -82.858
1244.2000, -84.027
1244.4000, -91.569
1244.6000, -83.134
1244.8000, -85.729
1245.0000, -82.902
1245.2000, -83.890
1245.4000, -88.708
1245.6000, -82.974
1245.8000, -82.335
1246.0000, -83.429
1246.2000,-210.000
1246.4000, -98.463
1246.6000, -87.059
1246.8000, -84.489
1247.0000, -85.753
1247.2000, -87.045
1247.4000,-210.000
1247.6000, -93.556
1247.8000, -85.523
1248.0000, -96.083
1248.2000, -84.031
1248.4000, -85.323
1248.6000, -86.460
1248.8000, -82.694
1249.0000, -89.712
1249.2000,-210.000
1249.4000, -90.158
1249.6000, -87.352
1249.8000, -87.032
1250.0000, -81.777
1250.2000, -93.219
1250.4000, -88.713
1250.6000,-210.000
1250.8000, -87.653
1251.0000, -91.778
1251.2000, -93.605
1251.4000, -86.990
1251.6000, -84.315
1251.8000,-210.000
1252.0000,-210.000
1252.2000, -89.662
1252.4000, -93.227
1252.6000, -88.520
1252.8000, -87.610
1253.0000,-210.000
1253.2000, -87.714
1253.4000, -86.340
1253.6000, -87.093
1253.8000,-210.000
1254.0000, -84.244
1254.2000, -82.473
1254.4000, -87.757
1254.6000, -84.276
1254.8000,-210.000
1255.0000, -87.941
1255.2000,-210.000
1255.4000, -84.894
1255.6000, -83.266
1255.8000,-100.267
1256.0000, -92.326
1256.2000, -89.995
1256.4000, -84.523
1256.6000, -89.298
1256.8000, -87.755
1257.0000, -86.212
1257.2000, -85.723
1257.4000, -83.584
