mode,polarization,u,neff,beta(1/um)
0,TE,1.190182929308324,1.4513700272749679e-06,9.119226830654915
1,TE,2.328124538003357,1.3041558885801039e-06,8.194253117398247
2,TE,3.1986033234254982,1.1015337328317814e-06,6.921140565491333
