mode,polarization,theta(rad),theta(deg),neff,beta(1/m)
0,TM,1.2846444226781006,73.60470359447538,1.4390057244361008,9041539.624724226
1,TM,1.0030272256042123,57.46922676383763,1.2646541154405901,7946056.156800513
2,TM,0.8237036338427258,47.19474178877751,1.1005012604689641,6914653.350311211
