mode,polarization,u,neff,beta(1/um)
0,TM,1.190182929308324,1.4513700272749679e-06,9.119226830654915
1,TM,1.5707963268671983,1.4142135623649583e-06,8.885765876265609
2,TM,2.328124538003357,1.3041558885801039e-06,8.194253117398247
3,TM,3.141592653559403,1.1180339887585474e-06,7.024814731095092
4,TM,3.198603323425498,1.1015337328317814e-06,6.921140565491333
