mode,polarization,theta(rad),theta(deg),neff,beta(1/m)
0,TE,1.3154663908075686,75.37067228458064,1.4513700272749679,9119226.830654915
1,TE,1.0540621246550788,60.393311087328485,1.3041558885801037,8194253.117398246
2,TE,0.8247171483202844,47.25281189081703,1.1015337328317814,6921140.565491334
